output_width_matrix -- bit unpacking only, no frame, no exceptions
Core clock measured at 2.79 GHz. 8192 values per pass, L1-resident.

Values per cycle, higher is better. unpk/int is the timing control and must read 1.00x.

  w   out_b  seq_scal  seq_simd     intlv   fl_unpk   fl_tpos    int/simd  int/scal  unpk/int
  1       8      1.44    10.55    23.06    23.06        -       2.19x   16.06x    1.00x
  2       8      0.98    10.74    27.37    27.37        -       2.55x   28.06x    1.00x
  3       8      1.34     6.05    18.47    18.47        -       3.05x   13.79x    1.00x
  5       8      1.27     6.65    15.03    15.02        -       2.26x   11.80x    1.00x
  7       8      1.19     6.48    13.42    13.42        -       2.07x   11.25x    1.00x

  1      16      1.57     6.44     9.85     9.85        -       1.53x    6.26x    1.00x
  2      16      0.75     6.25    10.46    10.40        -       1.68x   14.02x    0.99x
  3      16      1.18     6.41     9.10     9.10        -       1.42x    7.71x    1.00x
  9      16      1.34     4.21     7.15     7.15        -       1.70x    5.35x    1.00x
 10      16      0.96     4.50     7.25     7.25        -       1.61x    7.58x    1.00x
 11      16      1.16     3.56     6.68     6.69        -       1.87x    5.74x    1.00x
 13      16      1.17     3.55     6.02     6.02        -       1.69x    5.16x    1.00x

  1      32      1.60     4.05     5.05     5.05     2.53       1.25x    3.16x    1.00x
  2      32      1.65     3.98     4.95     4.95     2.61       1.24x    2.99x    1.00x
  3      32      1.38     3.84     4.65     4.65     2.55       1.21x    3.36x    1.00x
  9      32      1.36     3.54     3.91     3.89     2.47       1.10x    2.87x    1.00x
 10      32      1.25     3.55     3.96     3.95     2.46       1.12x    3.15x    1.00x
 11      32      1.12     3.38     3.73     3.74     2.20       1.10x    3.32x    1.00x
 19      32      0.96     2.94     3.39     3.40     1.93       1.16x    3.52x    1.00x
 20      32      0.97     2.33     3.70     3.70     2.06       1.59x    3.81x    1.00x
 24      32      0.88     2.44     3.73     3.73     2.03       1.53x    4.25x    1.00x

GiB/s of output, higher is better. unpk/int is the timing control and must read 1.00x.

  w   out_b  seq_scal  seq_simd     intlv   fl_unpk   fl_tpos    int/simd  int/scal  unpk/int
  1       8      3.74    27.44    60.00    60.00        -       2.19x   16.06x    1.00x
  2       8      2.54    27.95    71.20    71.20        -       2.55x   28.06x    1.00x
  3       8      3.49    15.74    48.06    48.06        -       3.05x   13.79x    1.00x
  5       8      3.31    17.31    39.09    39.09        -       2.26x   11.80x    1.00x
  7       8      3.10    16.86    34.91    34.91        -       2.07x   11.25x    1.00x

  1      16      8.18    33.53    51.23    51.23        -       1.53x    6.26x    1.00x
  2      16      3.88    32.50    54.45    54.14        -       1.68x   14.02x    0.99x
  3      16      6.14    33.33    47.37    47.37        -       1.42x    7.71x    1.00x
  9      16      6.95    21.91    37.22    37.22        -       1.70x    5.35x    1.00x
 10      16      4.97    23.41    37.71    37.71        -       1.61x    7.58x    1.00x
 11      16      6.05    18.54    34.74    34.79        -       1.87x    5.74x    1.00x
 13      16      6.08    18.50    31.33    31.35        -       1.69x    5.16x    1.00x

  1      32     16.65    42.18    52.55    52.55    26.33       1.25x    3.16x    1.00x
  2      32     17.21    41.46    51.54    51.53    27.14       1.24x    2.99x    1.00x
  3      32     14.40    39.96    48.41    48.41    26.57       1.21x    3.36x    1.00x
  9      32     14.14    36.79    40.66    40.53    25.74       1.10x    2.87x    1.00x
 10      32     13.06    36.90    41.16    41.12    25.61       1.12x    3.15x    1.00x
 11      32     11.70    35.21    38.86    38.88    22.88       1.10x    3.32x    1.00x
 19      32     10.03    30.55    35.30    35.41    20.07       1.16x    3.52x    1.00x
 20      32     10.10    24.24    38.48    38.47    21.39       1.59x    3.81x    1.00x
 24      32      9.15    25.41    38.86    38.84    21.13       1.53x    4.25x    1.00x

